city_name,latitude,longitude,zip_code
Senador Guiomard,-9.9408,-67.3931,69925-000
Mâncio Lima,-7.5396,-73.4583,69990-000
Capixaba,-10.4878,-67.8483,69922-000
Cruzeiro do Sul,-8.0159,-72.9298,69980-000
Acrelândia,-9.9805,-66.8439,69945-000
Rio Branco,-10.0699,-68.1553,69900-000
Sena Madureira,-10.0357,-69.5497,69940-000
Rodrigues Alves,-7.8529,-73.2361,69985-000
Brasiléia,-10.7677,-69.0114,69932-000
Epitaciolândia,-10.9354,-68.4441,69934-000
Porto Walter,-8.5247,-72.8207,69982-000
Santa Rosa do Purus,-9.4773,-70.3903,69955-000
Marechal Thaumaturgo,-9.1899,-72.5685,69983-000
Jordão,-9.0917,-71.8407,69975-000
Feijó,-8.905,-70.9149,69960-000
Tarauacá,-8.6552,-71.4234,69970-000
Plácido de Castro,-10.2943,-67.2682,69928-000
Manoel Urbano,-9.4895,-70.0124,69950-000
Bujari,-9.5786,-68.172,69923-000
Assis Brasil,-10.8833,-70.0131,69935-000
Belo Monte,-9.8052,-37.1916,57435-000
Xapuri,-10.5966,-68.6489,69930-000
Campestre,-8.8939,-35.5324,57968-000
Atalaia,-9.5298,-36.0746,57690-000
Porto Acre,-9.6504,-67.7773,69921-000
Inhapi,-9.2773,-37.6362,57545-000
Batalha,-9.7326,-37.0888,57420-000
Jacaré dos Homens,-9.6728,-37.2228,57430-000
Branquinha,-9.2117,-36.0896,57830-000
Barra de São Miguel,-9.8123,-35.9609,57180-000
Cajueiro,-9.3763,-36.1577,57770-000
Barra de Santo Antônio,-9.3975,-35.5654,57925-000
Feliz Deserto,-10.2908,-36.3537,57220-000
Anadia,-9.6749,-36.3379,57660-000
Arapiraca,-9.7438,-36.5931,57300-000
Ibateguara,-8.8969,-35.9096,57890-000
Belém,-9.5442,-36.502,57630-000
Campo Grande,-9.95,-36.7559,57350-000
Flexeiras,-9.2006,-35.78,57995-000
Delmiro Gouveia,-9.4445,-38.0248,57480-000
Dois Riachos,-9.3582,-37.0657,57560-000
Coité do Nóia,-9.6262,-36.6004,57325-000
Boca da Mata,-9.6465,-36.1413,57680-000
Colônia Leopoldina,-8.8921,-35.7423,57975-000
Jacuípe,-8.8772,-35.4588,57960-000
Carneiros,-9.4647,-37.3556,57535-000
Feira Grande,-9.9247,-36.6695,57340-000
Campo Alegre,-9.7933,-36.2857,57250-000
Coruripe,-10.0745,-36.1996,57230-000
Cacimbinhas,-9.449,-36.9047,57570-000
Igreja Nova,-10.1666,-36.6172,57280-000
Água Branca,-9.2699,-37.9192,57490-000
Canapi,-9.1733,-37.5199,57530-000
Coqueiro Seco,-9.6466,-35.8094,57140-000
Capela,-9.3934,-36.1239,57780-000
Chã Preta,-9.2292,-36.3305,57760-000
Craíbas,-9.6011,-36.8027,57320-000
Estrela de Alagoas,-9.3986,-36.7622,57625-000
Igaci,-9.58,-36.6742,57620-000
Girau do Ponciano,-9.7838,-36.842,57360-000
Japaratinga,-9.099,-35.2963,57950-000
Maceió,-9.5713,-35.6899,57000-000
Lagoa da Canoa,-9.8072,-36.7481,57330-000
Limoeiro de Anadia,-9.7268,-36.4541,57260-000
Junqueiro,-9.8852,-36.4564,57270-000
Jundiá,-8.9406,-35.4996,57965-000
Jaramataia,-9.6505,-36.9604,57425-000
Joaquim Gomes,-9.1035,-35.7374,57980-000
Maragogi,-8.9586,-35.276,57955-000
Major Isidoro,-9.5168,-36.9649,57580-000
Monteirópolis,-9.6202,-37.2935,57440-000
Murici,-9.2983,-35.9,57820-000
Maribondo,-9.5509,-36.3403,57670-000
Maravilha,-9.2231,-37.3794,57520-000
Mata Grande,-8.9854,-37.7615,57540-000
Marechal Deodoro,-9.709,-35.9031,57160-000
Mar Vermelho,-9.4925,-36.3504,57730-000
Matriz de Camaragibe,-9.1383,-35.5761,57910-000
Minador do Negrão,-9.3186,-36.8863,57615-000
Messias,-9.3211,-35.8222,57990-000
Novo Lino,-8.8809,-35.6195,57970-000
Olho d'Água Grande,-10.0562,-36.7952,57390-000
Palestina,-9.675,-37.331,57410-000
Olho d'Água das Flores,-9.5403,-37.2521,57442-000
Pilar,-9.6175,-36.0632,57150-000
Paripueira,-9.4294,-35.5898,57935-000
Ouro Branco,-9.129,-37.3737,57525-000
Pariconha,-9.2204,-38.0167,57475-000
Passo de Camaragibe,-9.2987,-35.4279,57930-000
Olho d'Água do Casado,-9.4565,-37.835,57470-000
Piaçabuçu,-10.3739,-36.419,57210-000
Olivença,-9.4695,-37.1668,57550-000
Pão de Açúcar,-9.6835,-37.4543,57400-000
Porto Calvo,-9.0706,-35.3734,57900-000
Penedo,-10.2445,-36.4699,57200-000
Paulo Jacinto,-9.3684,-36.3929,57740-000
Piranhas,-9.5481,-37.7453,57460-000
Poço das Trincheiras,-9.2926,-37.3199,57510-000
Palmeira dos Índios,-9.409,-36.6065,57600-000
Pindoba,-9.4749,-36.3034,57720-000
Porto Real do Colégio,-10.1054,-36.7269,57290-000
Quebrangulo,-9.2923,-36.4979,57750-000
Porto de Pedras,-9.1156,-35.3916,57945-000
Roteiro,-9.8591,-35.9831,57246-000
São José da Laje,-8.975,-36.0339,57860-000
Santana do Mundaú,-9.1243,-36.2267,57840-000
Teotônio Vilela,-9.9901,-36.4327,57265-000
